# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
62            	(-3.916786e+01 1.669781e+03 3.936719e+03)	(-2.348351e+01 1.669952e+03 3.936865e+03)	(-1.568435e+01 -1.710615e-01 -1.459398e-01)
63            	(-3.923125e+01 1.669154e+03 3.936698e+03)	(-2.354088e+01 1.669326e+03 3.936850e+03)	(-1.569037e+01 -1.723569e-01 -1.522752e-01)
64            	(-3.928511e+01 1.668403e+03 3.935018e+03)	(-2.359000e+01 1.668577e+03 3.935178e+03)	(-1.569512e+01 -1.740556e-01 -1.597362e-01)
65            	(-3.958508e+01 1.667413e+03 3.933473e+03)	(-2.388583e+01 1.667589e+03 3.933641e+03)	(-1.569925e+01 -1.760960e-01 -1.683441e-01)
66            	(-3.935118e+01 1.667044e+03 3.933519e+03)	(-2.364719e+01 1.667222e+03 3.933696e+03)	(-1.570399e+01 -1.778620e-01 -1.765111e-01)
67            	(-3.932080e+01 1.666499e+03 3.933378e+03)	(-2.360942e+01 1.666678e+03 3.933562e+03)	(-1.571138e+01 -1.792365e-01 -1.842267e-01)
68            	(-3.931882e+01 1.665661e+03 3.932420e+03)	(-2.359958e+01 1.665842e+03 3.932612e+03)	(-1.571924e+01 -1.805537e-01 -1.919351e-01)
69            	(-3.926217e+01 1.665010e+03 3.931865e+03)	(-2.353484e+01 1.665191e+03 3.932064e+03)	(-1.572732e+01 -1.816026e-01 -1.993637e-01)
70            	(-3.964196e+01 1.663198e+03 3.929436e+03)	(-2.390640e+01 1.663380e+03 3.929643e+03)	(-1.573556e+01 -1.822498e-01 -2.068745e-01)
71            	(-3.940794e+01 1.663483e+03 3.930340e+03)	(-2.366239e+01 1.663666e+03 3.930554e+03)	(-1.574554e+01 -1.826044e-01 -2.140217e-01)
72            	(-3.968207e+01 1.662361e+03 3.928621e+03)	(-2.392861e+01 1.662544e+03 3.928842e+03)	(-1.575345e+01 -1.827910e-01 -2.208269e-01)
73            	(-3.930949e+01 1.662429e+03 3.929634e+03)	(-2.354753e+01 1.662612e+03 3.929861e+03)	(-1.576196e+01 -1.828864e-01 -2.274121e-01)
74            	(-3.937471e+01 1.661758e+03 3.928985e+03)	(-2.360359e+01 1.661941e+03 3.929219e+03)	(-1.577112e+01 -1.828211e-01 -2.336998e-01)
75            	(-3.935957e+01 1.661358e+03 3.928710e+03)	(-2.357869e+01 1.661540e+03 3.928949e+03)	(-1.578088e+01 -1.825260e-01 -2.397814e-01)
76            	(-3.942642e+01 1.660866e+03 3.928194e+03)	(-2.363585e+01 1.661048e+03 3.928440e+03)	(-1.579057e+01 -1.821066e-01 -2.457704e-01)
77            	(-3.959108e+01 1.660450e+03 3.927269e+03)	(-2.379244e+01 1.660632e+03 3.927521e+03)	(-1.579864e+01 -1.814772e-01 -2.518812e-01)
78            	(-3.965411e+01 1.660033e+03 3.926403e+03)	(-2.384766e+01 1.660214e+03 3.926661e+03)	(-1.580645e+01 -1.806829e-01 -2.579069e-01)
