#,alpha.water_initial,alpha.water_final,p_rgh_initial,p_rgh_final
2675,2.249070e-06,5.175610e-09,2.053240e-04,6.105320e-07
2676,2.253350e-06,5.294460e-09,2.052810e-04,5.932900e-07
2677,2.257680e-06,5.121990e-09,2.051080e-04,5.633480e-07
2678,2.261580e-06,5.357210e-09,2.051910e-04,5.806280e-07
2679,2.265020e-06,5.124370e-09,2.055760e-04,5.852010e-07
2680,2.268010e-06,5.380320e-09,2.054000e-04,5.901850e-07
2681,2.270360e-06,5.139680e-09,2.052670e-04,5.610530e-07
2682,2.272230e-06,5.391070e-09,2.053290e-04,5.957800e-07
2683,2.273540e-06,5.255450e-09,2.051820e-04,5.694590e-07
2684,2.274250e-06,5.376670e-09,2.051030e-04,5.924130e-07
2685,2.274370e-06,5.347060e-09,2.041830e-04,5.480650e-07
2686,2.273890e-06,5.365760e-09,2.035760e-04,5.382480e-07
2687,2.272780e-06,5.342010e-09,2.033730e-04,5.507080e-07
2688,2.271170e-06,5.354930e-09,2.030870e-04,5.703150e-07
2689,2.269030e-06,5.343830e-09,2.026710e-04,5.774270e-07
2690,2.266430e-06,5.334590e-09,2.020840e-04,5.622490e-07
2691,2.263230e-06,5.319990e-09,2.007040e-04,5.442430e-07
2692,2.259560e-06,5.304850e-09,1.996710e-04,5.450060e-07
2693,2.255450e-06,5.286550e-09,1.987430e-04,5.586930e-07
2694,2.250820e-06,5.268690e-09,1.986810e-04,5.977450e-07
2695,2.245770e-06,5.248250e-09,1.968880e-04,5.535550e-07
2696,2.240750e-06,5.229640e-09,1.958160e-04,5.575040e-07
2697,2.234790e-06,5.205720e-09,1.949780e-04,5.818630e-07
2698,2.228410e-06,5.179230e-09,1.932960e-04,5.664870e-07
2699,2.221780e-06,5.150370e-09,1.924990e-04,5.684530e-07
2700,2.214850e-06,5.120740e-09,1.921990e-04,6.218440e-07
2701,2.207570e-06,5.094070e-09,1.903240e-04,5.732150e-07
2702,2.200110e-06,5.064480e-09,1.891380e-04,5.577970e-07
2703,2.192310e-06,5.035810e-09,1.885410e-04,6.126860e-07
2704,2.184330e-06,5.005190e-09,1.869850e-04,5.760800e-07
2705,2.176200e-06,4.976240e-09,1.866500e-04,6.302500e-07
2706,2.168050e-06,4.940490e-09,1.852900e-04,5.944260e-07
2707,2.159180e-06,4.907280e-09,1.840380e-04,6.112750e-07
2708,2.150210e-06,4.865860e-09,1.828350e-04,6.016110e-07
2709,2.141030e-06,4.828800e-09,1.812620e-04,6.117040e-07
2710,2.131790e-06,4.783400e-09,1.802270e-04,6.144650e-07
2711,2.122430e-06,4.749670e-09,1.791450e-04,5.990700e-07
2712,2.113000e-06,4.694020e-09,1.769700e-04,5.519920e-07
2713,2.105960e-06,4.669130e-09,1.754000e-04,5.898520e-07
2714,2.094250e-06,4.603750e-09,1.734420e-04,5.338480e-07
2715,2.082540e-06,4.578200e-09,1.719690e-04,5.258390e-07
2716,2.070870e-06,4.520450e-09,1.708540e-04,4.945100e-07
2717,2.059210e-06,4.484700e-09,1.696810e-04,4.920430e-07
2718,2.047490e-06,4.413600e-09,1.683710e-04,4.866550e-07
2719,2.035660e-06,4.285370e-09,1.668620e-04,4.729060e-07
2720,2.024160e-06,4.202910e-09,1.653970e-04,4.467730e-07
2721,2.012680e-06,4.167990e-09,1.646620e-04,4.718380e-07
2722,2.001310e-06,4.134440e-09,1.638860e-04,4.780300e-07
2723,1.990020e-06,4.098290e-09,1.625040e-04,4.582280e-07
2724,1.978910e-06,4.067440e-09,1.614730e-04,4.547060e-07
2725,1.967870e-06,4.030840e-09,1.603510e-04,4.562350e-07
2726,1.956950e-06,4.000760e-09,1.595640e-04,4.676720e-07
2727,1.947410e-06,3.969260e-09,1.590310e-04,4.955670e-07
2728,1.935730e-06,3.938550e-09,1.575970e-04,4.659960e-07
2729,1.924150e-06,3.901670e-09,1.562580e-04,4.455790e-07
2730,1.912690e-06,3.872100e-09,1.554380e-04,4.628180e-07
2731,1.901230e-06,3.839650e-09,1.544760e-04,4.636150e-07
2732,1.937960e-06,3.943000e-09,1.577570e-04,4.992710e-07
2733,2.019710e-06,4.182270e-09,1.645980e-04,5.093850e-07
2734,2.169380e-06,4.646670e-09,1.784620e-04,5.272420e-07
2735,2.352230e-06,5.271780e-09,1.994170e-04,5.619530e-07
2736,2.540930e-06,5.992850e-09,2.262890e-04,5.961200e-07
2737,2.621810e-06,6.426670e-09,2.317350e-04,5.725950e-07
2738,2.642750e-06,6.726230e-09,2.340700e-04,5.701880e-07
2739,2.645830e-06,6.894720e-09,2.341950e-04,6.312780e-07
2740,2.646930e-06,6.979840e-09,2.337810e-04,6.194120e-07
2741,2.647680e-06,6.969130e-09,2.330090e-04,5.974160e-07
